origem,data,tipo,nota
Documento sem título.docx,2025-05-28,outro artigo,Revisão sistemática sobre evasão (Mançano; Monteiro; Carmo) — não é versão deste texto
v.PUC-RS Folha de Rosto Victor-Tales.docx,2025-05-30,folha de rosto,
Plano de Revisão - Quem faz iniciação ciêntífica.docx,2025-08-06,plano de revisão,
v.PUCRS Quem faz Iniciação Científica_.docx,2025-08-13,versão do artigo,Escrita de Tales antes da passagem de Victor
vr1.PUCRS_Quem_faz_Iniciação_Científica.docx,2025-08-15,versão do artigo,
v.PUC-RS -Gráficos e Tabelas- Victor-Tales.docx,2025-08-15,gráficos e tabelas,
vr1.PUCRS_Quem_faz_Iniciação_Científica_versaoVictor.docx,2025-08-21,versão do artigo,Revisão de Victor
Roteiro de Entrevista _Quem faz IC na FFLCH_.docx,2024-08-06,material de campo,
Termo de consentimento livre e esclarecido_entrevistas_anpocs.docx,2024-08-01,material de campo,
Termo de consentimento livre e esclarecido_Métodos.docx,2024-12-02,material de campo,
PUC-RS V.Editoração IC na FFLCH.docx,2025-09-10,versão do artigo,Pós-revisão editorial da revista
